,Contact Group,Rep,Abandon,Waiting Time,NIQ
77,2,39,0.06741573033707865,0.6895051011235955,0.11213405000000044
78,1,40,0.10752688172043011,0.9090269892473117,0.15191697037037022
79,2,40,0.042105263157894736,0.4530238631578947,0.07969864259259335
80,1,41,0.13,0.9724741,0.16956924074074067
81,2,41,0.07526881720430108,0.563658247311828,0.09055957777777819
82,1,42,0.12359550561797752,0.9108191685393259,0.15447330925925964
83,2,42,0.03409090909090909,0.7169617840909092,0.11737230925925941
84,1,43,0.056338028169014086,0.7559511408450704,0.09840849629629635
85,2,43,0.03225806451612903,0.5378880430107528,0.09432145925925957
86,1,44,0.07865168539325842,0.6321540674157303,0.11213939074074084
87,2,44,0.1044776119402985,0.6176211641791045,0.07664929259259291
88,1,45,0.05813953488372093,0.3875438488372093,0.06166306296296334
89,2,45,0.07894736842105263,0.8463730877192982,0.1797057018518518
90,1,46,0.0625,0.6861341875,0.08053787777777748
91,2,46,0.07228915662650602,0.6484592409638554,0.08630361851851795
92,1,47,0.1794871794871795,0.9531741153846155,0.1388522777777774
93,2,47,0.06666666666666667,0.5519942888888889,0.08909255370370318
94,1,48,0.12087912087912088,0.7395687472527473,0.12376100185185164
95,2,48,0.0967741935483871,1.232569629032258,0.2802319537037039
96,1,49,0.10126582278481013,0.6836040253164557,0.09897451851851871
97,2,49,0.037037037037037035,0.4033905555555555,0.06053972592592579
98,1,50,0.13186813186813187,0.9372587472527472,0.14970539629629565
99,2,50,0.044444444444444446,0.5013565222222223,0.0870757759259258
